index,Date,Type of transport,Foreign Visitors
306,05-01-10, Railway,17470
307,05-01-10, Road,475002
308,06-01-10, Waterway,21198
309,06-01-10, Air,112713
310,06-01-10, Railway,19960
311,06-01-10, Road,531626
312,07-01-10, Waterway,17752
313,07-01-10, Air,125832
314,07-01-10, Railway,33820
315,07-01-10, Road,704709
316,08-01-10, Waterway,19588
317,08-01-10, Air,115847
318,08-01-10, Railway,38205
319,08-01-10, Road,804044
320,09-01-10, Waterway,23656
321,09-01-10, Air,102646
322,09-01-10, Railway,18637
323,09-01-10, Road,506705
324,10-01-10, Waterway,17342
325,10-01-10, Air,100006
326,10-01-10, Railway,15526
327,10-01-10, Road,456615
328,11-01-10, Waterway,7895
329,11-01-10, Air,99598
330,11-01-10, Railway,12943
331,11-01-10, Road,412026
332,12-01-10, Waterway,7740
333,12-01-10, Air,90345
334,12-01-10, Railway,16866
335,12-01-10, Road,417185
336,01-01-11, Waterway,6656
337,01-01-11, Air,85528
338,01-01-11, Railway,13348
339,01-01-11, Road,361699
340,02-01-11, Waterway,5720
341,02-01-11, Air,93902
342,02-01-11, Railway,12660
343,02-01-11, Road,298796
344,03-01-11, Waterway,6623
345,03-01-11, Air,114153
346,03-01-11, Railway,15574
347,03-01-11, Road,366672
348,04-01-11, Waterway,13254
349,04-01-11, Air,127438
350,04-01-11, Railway,17809
351,04-01-11, Road,413411
352,05-01-11, Waterway,17463
353,05-01-11, Air,145525
354,05-01-11, Railway,17960
355,05-01-11, Road,433736
356,06-01-11, Waterway,18068
357,06-01-11, Air,147800
358,06-01-11, Railway,25975
359,06-01-11, Road,555090
360,07-01-11, Waterway,22103
361,07-01-11, Air,159939
362,07-01-11, Railway,39427
363,07-01-11, Road,723518
364,08-01-11, Waterway,17902
365,08-01-11, Air,147710
366,08-01-11, Railway,39936
367,08-01-11, Road,762615
368,09-01-11, Waterway,27235
369,09-01-11, Air,146458
370,09-01-11, Railway,23217
371,09-01-11, Road,499728
372,10-01-11, Waterway,19402
373,10-01-11, Air,137023
374,10-01-11, Railway,18742
375,10-01-11, Road,452407
376,11-01-11, Waterway,7007
377,11-01-11, Air,106876
378,11-01-11, Railway,15362
379,11-01-11, Road,387571
380,12-01-11, Waterway,6701
381,12-01-11, Air,96345
382,12-01-11, Railway,18126
383,12-01-11, Road,420847
384,01-01-12, Waterway,6445
385,01-01-12, Air,96592
386,01-01-12, Railway,13868
387,01-01-12, Road,364229
388,02-01-12, Waterway,5156
389,02-01-12, Air,85538
390,02-01-12, Railway,12123
391,02-01-12, Road,273892
392,03-01-12, Waterway,8728
393,03-01-12, Air,110625
394,03-01-12, Railway,14294
395,03-01-12, Road,396465
396,04-01-12, Waterway,15768
397,04-01-12, Air,125349
398,04-01-12, Railway,16939
399,04-01-12, Road,441229
400,05-01-12, Waterway,21298
401,05-01-12, Air,152934
402,05-01-12, Railway,19384
403,05-01-12, Road,479006
404,06-01-12, Waterway,22827
405,06-01-12, Air,138559
406,06-01-12, Railway,25528
407,06-01-12, Road,589722
408,07-01-12, Waterway,24551
409,07-01-12, Air,139933
410,07-01-12, Railway,42199
411,07-01-12, Road,790177
412,08-01-12, Waterway,23482
413,08-01-12, Air,154229
414,08-01-12, Railway,41588
415,08-01-12, Road,873830
416,09-01-12, Waterway,27632
417,09-01-12, Air,141312
418,09-01-12, Railway,22883
419,09-01-12, Road,550627
420,10-01-12, Waterway,15914
421,10-01-12, Air,136807
422,10-01-12, Railway,16108
423,10-01-12, Road,460595
424,11-01-12, Waterway,8345
425,11-01-12, Air,103037
426,11-01-12, Railway,13471
427,11-01-12, Road,405487
428,12-01-12, Waterway,6406
429,12-01-12, Air,83766
430,12-01-12, Railway,16310
431,12-01-12, Road,401476
432,01-01-13, Waterway,5542
433,01-01-13, Air,86952
434,01-01-13, Railway,12644
435,01-01-13, Road,356314
436,02-01-13, Waterway,5541
437,02-01-13, Air,87544
438,02-01-13, Railway,10665
439,02-01-13, Road,323007
440,03-01-13, Waterway,6615
441,03-01-13, Air,102451
442,03-01-13, Railway,12782
443,03-01-13, Road,411459
444,04-01-13, Waterway,16553
445,04-01-13, Air,110385
446,04-01-13, Railway,13179
447,04-01-13, Road,413334
448,05-01-13, Waterway,19090
449,05-01-13, Air,129194
450,05-01-13, Railway,17421
451,05-01-13, Road,495156
452,06-01-13, Waterway,22241
453,06-01-13, Air,129991
454,06-01-13, Railway,25417
455,06-01-13, Road,644503
456,07-01-13, Waterway,33294
457,07-01-13, Air,139233
458,07-01-13, Railway,37179
459,07-01-13, Road,818562
460,08-01-13, Waterway,25757
461,08-01-13, Air,140856
462,08-01-13, Railway,38079
463,08-01-13, Road,937014
464,09-01-13, Waterway,24476
465,09-01-13, Air,130544
466,09-01-13, Railway,23062
467,09-01-13, Road,567131
468,10-01-13, Waterway,23004
469,10-01-13, Air,119303
470,10-01-13, Railway,14979
471,10-01-13, Road,453084
472,11-01-13, Waterway,7799
473,11-01-13, Air,94613
474,11-01-13, Railway,11828
475,11-01-13, Road,410882
476,12-01-13, Waterway,5959
477,12-01-13, Air,75839
478,12-01-13, Railway,14847
479,12-01-13, Road,413272
480,01-01-14, Waterway,4940
481,01-01-14, Air,73133
482,01-01-14, Railway,11771
483,01-01-14, Road,363494
484,02-01-14, Waterway,5254
485,02-01-14, Air,119785
486,02-01-14, Railway,10245
487,02-01-14, Road,329810
488,03-01-14, Waterway,5958
489,03-01-14, Air,135684
490,03-01-14, Railway,10574
491,03-01-14, Road,390245
492,04-01-14, Waterway,11012
493,04-01-14, Air,143087
494,04-01-14, Railway,12705
495,04-01-14, Road,447272
496,05-01-14, Waterway,21191
497,05-01-14, Air,165868
498,05-01-14, Railway,12225
499,05-01-14, Road,463941
500,06-01-14, Waterway,24652
501,06-01-14, Air,171041
502,06-01-14, Railway,18584
503,06-01-14, Road,622103
504,07-01-14, Waterway,25329
505,07-01-14, Air,169453
506,07-01-14, Railway,22730
507,07-01-14, Road,791154
508,08-01-14, Waterway,26337
509,08-01-14, Air,158844
510,08-01-14, Railway,23713
511,08-01-14, Road,946785
512,09-01-14, Waterway,22508
513,09-01-14, Air,169533
514,09-01-14, Railway,14775
515,09-01-14, Road,595623
516,10-01-14, Waterway,27215
517,10-01-14, Air,156885
518,10-01-14, Railway,13655
519,10-01-14, Road,519827
520,11-01-14, Waterway,7887
521,11-01-14, Air,114906
522,11-01-14, Railway,10492
523,11-01-14, Road,443233
524,12-01-14, Waterway,6319
525,12-01-14, Air,111497
526,12-01-14, Railway,11596
527,12-01-14, Road,476733
528,01-01-15, Waterway,6431
529,01-01-15, Air,95544
530,01-01-15, Railway,8735
531,01-01-15, Road,427128
532,02-01-15, Waterway,6297
533,02-01-15, Air,96335
534,02-01-15, Railway,7956
535,02-01-15, Road,389867
536,03-01-15, Waterway,7554
537,03-01-15, Air,118110
538,03-01-15, Railway,8906
539,03-01-15, Road,469726
540,04-01-15, Waterway,10663
541,04-01-15, Air,124796
542,04-01-15, Railway,10385
543,04-01-15, Road,524274
544,05-01-15, Waterway,15396
545,05-01-15, Air,140708
546,05-01-15, Railway,13090
547,05-01-15, Road,582680
548,06-01-15, Waterway,20295
549,06-01-15, Air,150270
550,06-01-15, Railway,12067
551,06-01-15, Road,687340
552,07-01-15, Waterway,20131
553,07-01-15, Air,159544
554,07-01-15, Railway,18518
555,07-01-15, Road,944977
556,08-01-15, Waterway,29599
557,08-01-15, Air,146677
558,08-01-15, Railway,20982
559,08-01-15, Road,1074175
560,09-01-15, Waterway,28124
561,09-01-15, Air,135389
562,09-01-15, Railway,11357
563,09-01-15, Road,681416
564,10-01-15, Waterway,16765
565,10-01-15, Air,124511
566,10-01-15, Railway,11886
567,10-01-15, Road,622383
568,11-01-15, Waterway,8518
569,11-01-15, Air,105727
570,11-01-15, Railway,8953
571,11-01-15, Road,514628
572,12-01-15, Waterway,8059
573,12-01-15, Air,137214
574,12-01-15, Railway,10277
575,12-01-15, Road,556685
576,01-01-16, Waterway,6714
577,01-01-16, Air,115398
578,01-01-16, Railway,8084
579,01-01-16, Road,411541
580,02-01-16, Waterway,7160
581,02-01-16, Air,132827
582,02-01-16, Railway,7403
583,02-01-16, Road,403863
584,03-01-16, Waterway,7664
585,03-01-16, Air,156804
586,03-01-16, Railway,9483
587,03-01-16, Road,527598
588,04-01-16, Waterway,12211
589,04-01-16, Air,179065
590,04-01-16, Railway,8864
591,04-01-16, Road,563729
592,05-01-16, Waterway,19237
593,05-01-16, Air,212346
594,05-01-16, Railway,12488
595,05-01-16, Road,652163
596,06-01-16, Waterway,18944
597,06-01-16, Air,214259
598,06-01-16, Railway,10703
599,06-01-16, Road,743542
600,07-01-16, Waterway,19608
601,07-01-16, Air,247773
602,07-01-16, Railway,14388
603,07-01-16, Road,997445
604,08-01-16, Waterway,19111
605,08-01-16, Air,226106
606,08-01-16, Railway,13575
607,08-01-16, Road,1011981
608,09-01-16, Waterway,18324
609,09-01-16, Air,219158
610,09-01-16, Railway,9821
611,09-01-16, Road,691552
612,10-01-16, Waterway,20892
613,10-01-16, Air,216364
614,10-01-16, Railway,10513
615,10-01-16, Road,616763
616,11-01-16, Waterway,8910
617,11-01-16, Air,164384
618,11-01-16, Railway,7842
619,11-01-16, Road,509510
620,12-01-16, Waterway,7791
621,12-01-16, Air,172048
622,12-01-16, Railway,9931
623,12-01-16, Road,546955
624,01-01-17, Waterway,5347
625,01-01-17, Air,209428
626,01-01-17, Railway,7057
627,01-01-17, Road,437517
628,02-01-17, Waterway,6410
629,02-01-17, Air,242517
630,02-01-17, Railway,6799
631,02-01-17, Road,423844
632,03-01-17, Waterway,9492
633,03-01-17, Air,315530
634,03-01-17, Railway,7707
635,03-01-17, Road,519299
636,04-01-17, Waterway,14754
637,04-01-17, Air,380651
638,04-01-17, Railway,10099
639,04-01-17, Road,623386
640,05-01-17, Waterway,18347
641,05-01-17, Air,406080
642,05-01-17, Railway,10055
643,05-01-17, Road,634311
644,06-01-17, Waterway,18581
645,06-01-17, Air,257062
646,06-01-17, Railway,13422
647,06-01-17, Road,810100
648,07-01-17, Waterway,18482
649,07-01-17, Air,301678
650,07-01-17, Railway,14992
651,07-01-17, Road,1012349
652,08-01-17, Waterway,17636
653,08-01-17, Air,274717
654,08-01-17, Railway,14260
655,08-01-17, Road,1031495
